term,ngrams_early,ngrams_late,corpus_early,corpus_late,ng_early_per10k,ng_late_per10k,ratio_early,ratio_late,ratio_change,category
alignment,9.089916472605961e-06,8.185120350390207e-06,0.0505321030450645,0.124280416389107,0.0908991647260596,0.08185120350390207,0.5559138265069644,1.5183700367314963,0.9624562102245319,operational
bedside,4.820802132599056e-06,5.174970586570756e-06,0.1515963091351936,0.8202507481681066,0.04820802132599056,0.051749705865707554,3.1446282552325933,15.850345786434856,12.705717531202263,relational
capacity,7.064311129007754e-05,6.572694595282276e-05,0.757981545675968,0.8451068314459281,0.7064311129007754,0.6572694595282276,1.072973048271531,1.285784419021601,0.21281137075007006,operational
comfort,2.7200029632825006e-05,3.055237417963023e-05,0.3031926182703872,0.6959703317789996,0.27200029632825007,0.30552374179630226,1.114677525166431,2.277958254272286,1.163280729105855,relational
compassion,1.1102946440847258e-05,1.2848491678596474e-05,3.436183007064388,0.596545998667714,0.11102946440847258,0.12848491678596474,30.948388289746507,4.6429262589517615,-26.305462030794747,relational
consumer,3.10431735540208e-05,2.4844288418535143e-05,0.3031926182703872,1.3422284970023564,0.310431735540208,0.24844288418535143,0.9766804826384651,5.402563635505132,4.425883152866667,operational
dashboard,1.995172202181753e-06,2.0220371273656688e-06,0.0505321030450645,0.0745682498334642,0.019951722021817532,0.02022037127365669,2.532718752651429,3.6877782873766622,1.155059534725233,operational
deliverable,4.667586901112892e-07,3.744298074555748e-07,0.0,0.0,0.004667586901112892,0.003744298074555748,0.0,0.0,0.0,operational
dignity,1.3031445243021672e-05,1.6482694263686426e-05,0.0505321030450645,0.3479851658894998,0.13031445243021672,0.16482694263686426,0.38777051750536945,2.1112153038289514,1.723444786323582,relational
efficiency,3.716529993523311e-05,3.542736521922052e-05,0.5558531334957099,0.7456824983346424,0.3716529993523311,0.3542736521922052,1.4956239636670632,2.104820642505089,0.6091966788380256,operational
enterprise,2.0749198094043614e-05,1.8698384034602594e-05,0.2021284121802581,0.3976973324451426,0.20749198094043614,0.18698384034602594,0.974150472177196,2.1269074888090325,1.1527570166318366,operational
healing,2.3000393671931567e-05,2.2174781406647526e-05,2.273944637027904,2.9827299933385696,0.23000393671931568,0.22174781406647526,9.886546550359075,13.451000599236618,3.5644540488775434,relational
leverage,6.947944387190676e-06,6.233713975234423e-06,0.2021284121802581,0.7953946648902852,0.06947944387190676,0.06233713975234423,2.9091828893121523,12.75956284312533,9.850379953813178,operational
listen,3.683404689322093e-05,3.9166148781077936e-05,0.7074494426309034,1.5659332465027491,0.3683404689322093,0.39166148781077936,1.9206400066794314,3.99818029405308,2.077540287373649,relational
metrics,5.954921821934736e-06,6.799815916262257e-06,0.0505321030450645,0.0994243331112856,0.05954921821934736,0.06799815916262257,0.8485770881215312,1.4621621066438422,0.613585018522311,operational
optimization,1.1148726116516627e-05,1.2986502345787207e-05,0.2021284121802581,0.5716899153898926,0.11148726116516627,0.12986502345787207,1.8130179919640386,4.402185405781427,2.589167413817389,operational
performance,0.00013099911718325713,0.00012191835412516667,0.6569173395858389,0.9445311645572138,1.3099911718325712,1.2191835412516667,0.5014669970373906,0.7747243395467697,0.27325734250937905,operational
physician,1.8830051755815346e-05,1.6435128297113504e-05,18.84847443580907,7.481681066624246,0.18830051755815347,0.16435128297113505,100.09783605554986,45.52249843048534,-54.57533762506452,relational
productivity,1.792134259760912e-05,1.6703032694446545e-05,0.1515963091351936,0.0497121665556428,0.1792134259760912,0.16703032694446546,0.8458981656291747,0.29762359427427565,-0.5482745713548991,operational
professionalism,2.8365446139235118e-06,2.5213098524545785e-06,0.0505321030450645,0.0497121665556428,0.02836544613923512,0.025213098524545785,1.7814668246554253,1.971680098563303,0.19021327390787768,relational
relationship,0.0001488443439094,0.0001348538304834,0.7074494426309034,1.5162210799471063,1.488443439094,1.348538304834,0.4752948103867659,1.1243440941852987,0.6490492837985328,relational
scalable,1.1011255764969974e-06,1.3422262554740882e-06,0.0505321030450645,0.298272999333857,0.011011255764969974,0.013422262554740882,4.589131297512005,22.22225767787907,17.633126380367067,operational
stakeholder,4.204047984655647e-06,4.719051200178607e-06,0.0505321030450645,0.1739925829447499,0.04204047984655647,0.047190512001786075,1.2019868000440244,3.6870246131497786,2.4850378131057544,operational
standardization,2.768919720048351e-06,2.651438762768521e-06,0.1515963091351936,0.0497121665556428,0.02768919720048351,0.02651438762768521,5.474925927343985,1.8749127974889621,-3.6000131298550233,operational
suffering,3.549992158826042e-05,3.780212743246617e-05,2.1223483278927104,0.8699629147237495,0.3549992158826042,0.3780212743246617,5.978459182332665,2.3013596628300514,-3.677099519502614,relational
throughput,3.302709566404311e-06,3.230681765368596e-06,0.0,0.124280416389107,0.03302709566404311,0.03230681765368596,0.0,3.8468788190299747,3.8468788190299747,operational
transformation,3.2659555862275215e-05,3.1599989597452804e-05,1.1622383700364842,1.8393501625587847,0.32659555862275214,0.31599989597452804,3.5586471885256987,5.820730260260338,2.262083071734639,operational
trust,7.30514116834716e-05,7.480670804701124e-05,0.1515963091351936,1.416796746835821,0.730514116834716,0.7480670804701124,0.2075200265595597,1.8939434469586756,1.686423420399116,relational
utilization,8.05489246756354e-06,7.282637398020597e-06,0.3537247213154517,0.3728412491673212,0.0805489246756354,0.07282637398020597,4.391426929017962,5.119590934859225,0.7281640058412631,operational
workflow,3.032281126382129e-06,2.218753555401539e-06,0.0,0.0497121665556428,0.03032281126382129,0.02218753555401539,0.0,2.24054466049527,2.24054466049527,operational
