category,term,early,late,delta,log2fc,pval,neg_log10_p
operational,alignment,0.105985420645536,0.144426925993236,0.03844150534770001,0.04929297903697377,0.893316922676714,0.04899443881372155
operational,capacity,0.635912523873216,0.818419247295004,0.1825067234217881,0.15258925372957496,0.9829381774290764,0.007473796558241749
operational,consumer,0.317956261936608,1.299842333939124,0.9818860720025161,0.8032324669081136,2.4662581492513025e-06,5.607961466699093
operational,dashboard,0.0423941682582144,0.072213462996618,0.029819294738403605,0.040691237398215625,0.9330940191984755,0.030074594236468414
operational,deliverable,0.0,0.0,0.0,0.0,1.0,-0.0
operational,efficiency,0.4875329349694656,0.72213462996618,0.23460169499671446,0.21127632057761103,0.36696804933809446,0.4353717466476631
operational,enterprise,2.395270506589114,0.43328077797970804,-1.9619897286094057,-1.244205261343491,1.1769807624137362e-14,10.0
operational,kpi,0.0,0.0,0.0,0.0,1.0,-0.0
operational,lean,0.0,0.0,0.0,0.0,1.0,-0.0
operational,leverage,0.2543650095492864,0.770276938630592,0.5159119290813056,0.49701784910924446,0.0015022610037555657,2.823254606184539
operational,metrics,0.0635912523873216,0.096284617328824,0.03269336494150239,0.04367858253678893,0.6251515296214227,0.20401470185245132
operational,operational excellence,0.0,0.024071154332206,0.024071154332206,0.03431595990415826,0.2982261603797477,0.5254542629278005
operational,optimization,0.211970841291072,0.553636549640738,0.34166570834966603,0.3582940564418511,0.027394409018342846,1.56233806419591
operational,patient flow,0.0,0.0,0.0,0.0,1.0,-0.0
operational,performance,0.6571096080023232,0.914703864623828,0.2575942566215048,0.20845224524407674,0.7624608959113003,0.117782424932557
operational,productivity,0.105985420645536,0.048142308664412,-0.057843111981124,-0.07749775959983546,0.30410707779558654,0.5169734719578192
operational,scalable,0.0423941682582144,0.288853851986472,0.2464596837282576,0.30618776253591534,0.013543598722307234,1.8682659222403335
operational,six sigma,0.0,0.0,0.0,0.0,1.0,-0.0
operational,stakeholder,0.0211970841291072,0.168498080325442,0.1473009961963348,0.19439404051169265,0.04474096141988125,1.3492946877659198
operational,standardization,0.317956261936608,0.048142308664412,-0.269813953272196,-0.3304678853012253,0.011174142155522447,1.9517858079207029
operational,throughput,0.105985420645536,0.12035577166103001,0.014370351015494012,0.018624568547550856,0.934702629555298,0.029326535528158632
operational,transformation,1.483795889037504,1.781265420583244,0.2974695315457401,0.1631948078973902,0.035337433871268496,1.451764991218945
operational,utilization,0.2543650095492864,0.36106731498309,0.1067023054338036,0.11778119947323505,0.22623983433678552,0.6454309258934768
operational,workflow,0.0211970841291072,0.048142308664412,0.0269452245353048,0.0375732846897275,0.5163026976030677,0.28709560582423566
relational,bedside,0.1695766730328576,0.7943480929627981,0.6247714199299405,0.6174733493164215,0.0347517326156385,1.4590235379327758
relational,care,73.93542944232591,41.3301719883977,-32.60525745392821,-0.8239616352778556,4.1538739308844856e-24,10.0
relational,clinical judgment,0.0,0.048142308664412,0.048142308664412,0.06783460815992863,0.1406699097442288,0.8517987911907806
relational,comfort,0.52992710322768,0.698063475633974,0.16813637240629398,0.15042747540845375,0.6588971205781673,0.18118239034250067
relational,compassion,4.514978919499834,0.698063475633974,-3.81691544386586,-1.6994649817011036,4.821084034642622e-29,10.0
relational,dignity,0.0423941682582144,0.336996160650884,0.2946019923926696,0.3590944047704669,0.041110727695321675,1.3860448357648787
relational,empathy,0.0211970841291072,0.409209623647502,0.3880125395183948,0.4646249088320539,0.0007036382242979008,3.152650576049794
relational,healing,1.9925259081360769,2.984823137193544,0.9922972290574672,0.41315195538875943,0.0026778559384344185,2.5722127905898335
relational,kindness,1.483795889037504,1.9979058095730982,0.5141099205355941,0.2714084342959226,0.6778218990772266,0.16888440408117
relational,listen,0.6147154397441088,1.5164827229289781,0.9017672831848693,0.64012875084806,0.0018311674720349104,2.737271934860171
relational,nurse,18.271886519290405,9.122967491906074,-9.14891902738433,-0.928865533437947,2.0040154851128714e-23,10.0
relational,patient-centered,0.6571096080023232,0.6258500126373561,-0.03125959536496714,-0.027474858922897787,0.7001124097666185,0.1548322242400719
relational,physician,16.766893546123796,8.063836701289011,-8.703056844834785,-0.9709976811156315,1.3345285560173972e-37,10.0
relational,presence,0.0,0.0,0.0,0.0,1.0,-0.0
relational,professionalism,0.0423941682582144,0.048142308664412,0.005748140406197602,0.007933690369647705,0.9347024630330032,0.02932661290006058
relational,relationship,1.2506279636173248,1.492411568596772,0.2417836049794473,0.14721472418906692,0.6187637072751573,0.20847516716459732
relational,suffering,1.5685842255539328,0.890632710291622,-0.6779515152623108,-0.4421042605535601,0.01150099018884084,1.9392647670344743
relational,trust,0.1907737571619648,1.420198105600154,1.2294243484381893,1.0232258120654352,4.3827704295103414e-07,6.35825127719181
