system,year,doctype,n_tokens,op_total,rel_total,op_rate_per_10k,rel_rate_per_10k,ratio_op_to_rel
duke,2014,press_release,914,0,7,0.0,76.58643326039387,0.0
duke,2014,press_release,1024,0,3,0.0,29.296875,0.0
duke,2014,press_release,869,0,2,0.0,23.014959723820482,0.0
duke,2014,press_release,475,0,2,0.0,42.10526315789474,0.0
duke,2014,press_release,997,0,2,0.0,20.060180541624874,0.0
duke,2014,press_release,814,0,16,0.0,196.56019656019657,0.0
duke,2014,press_release,1459,1,2,6.854009595613434,13.708019191226867,0.5
duke,2014,press_release,900,0,2,0.0,22.22222222222222,0.0
duke,2014,press_release,846,0,2,0.0,23.64066193853428,0.0
duke,2014,press_release,1057,0,3,0.0,28.38221381267739,0.0
duke,2014,press_release,757,0,2,0.0,26.42007926023778,0.0
duke,2014,press_release,863,3,4,34.762456546929315,46.349942062572424,0.7499999999999999
duke,2014,press_release,1042,2,6,19.193857965451055,57.58157389635317,0.3333333333333333
duke,2014,press_release,1083,0,5,0.0,46.16805170821792,0.0
duke,2014,press_release,957,0,3,0.0,31.34796238244514,0.0
duke,2013,press_release,1023,0,8,0.0,78.20136852394917,0.0
duke,2013,press_release,575,1,2,17.391304347826086,34.78260869565217,0.5
duke,2013,press_release,1390,0,3,0.0,21.58273381294964,0.0
duke,2013,press_release,803,0,2,0.0,24.906600249066003,0.0
duke,2013,press_release,1118,1,3,8.94454382826476,26.833631484794275,0.33333333333333337
duke,2013,press_release,912,0,2,0.0,21.92982456140351,0.0
duke,2013,press_release,1508,1,2,6.63129973474801,13.26259946949602,0.5
duke,2013,press_release,389,1,4,25.70694087403599,102.82776349614396,0.25
duke,2013,press_release,1024,0,3,0.0,29.296875,0.0
duke,2013,press_release,938,0,2,0.0,21.321961620469082,0.0
duke,2013,press_release,724,0,5,0.0,69.06077348066299,0.0
duke,2013,press_release,735,0,4,0.0,54.42176870748299,0.0
duke,2013,press_release,653,0,2,0.0,30.627871362940276,0.0
duke,2013,press_release,650,0,3,0.0,46.15384615384615,0.0
duke,2013,press_release,699,0,3,0.0,42.918454935622314,0.0
duke,2013,press_release,972,0,2,0.0,20.5761316872428,0.0
duke,2013,press_release,1207,1,4,8.285004142502071,33.140016570008285,0.25
duke,2013,press_release,1057,0,4,0.0,37.842951750236516,0.0
duke,2013,press_release,709,0,2,0.0,28.208744710860366,0.0
duke,2013,press_release,975,0,2,0.0,20.512820512820515,0.0
duke,2013,press_release,952,0,3,0.0,31.51260504201681,0.0
duke,2013,press_release,896,0,62,0.0,691.9642857142857,0.0
duke,2013,press_release,973,1,5,10.277492291880781,51.38746145940391,0.19999999999999998
